Precinct,Registered Voters - Total,Ballots Cast - Total,Ballots Cast - Blank,Voter Turnout - Total
BRK-A,"1,178",923,5,78.35%
BRK-B,992,699,1,70.46%
BRK-C,"1,134",911,2,80.34%
BRK-D,984,784,1,79.67%
BTLTWP-A,"1,006",829,5,82.41%
BTLTWP-B,978,727,7,74.34%
BTLTWP-C,"1,098",925,2,84.24%
BTLTWP-D,"1,033",861,6,83.35%
BTLTWP-E,702,597,0,85.04%
BTLTWP-F,811,687,4,84.71%
BTLTWP-G,772,521,0,67.49%
CLATWP-A,708,597,0,84.32%
CLATWP-B,791,620,2,78.38%
CLATWP-C,"1,194",931,8,77.97%
CTN 1-A,735,608,1,82.72%
CTN 1-B,883,693,1,78.48%
CTN 1-C,"1,135",941,6,82.91%
CTN 1-D,795,599,1,75.35%
CTN 2-A,830,655,2,78.92%
CTN 2-B,"1,123",858,0,76.40%
CTN 2-C,"1,153",897,2,77.80%
CTN 3-A,"1,082",863,2,79.76%
CTN 3-B,"1,109",828,4,74.66%
CTN 3-C,"1,147",738,2,64.34%
CV-A,"1,049",638,4,60.82%
CV-B,"1,104",881,3,79.80%
CV-C,678,565,2,83.33%
CV-D,937,649,6,69.26%
CV-E,"1,013",819,1,80.85%
CV-F,"1,133",936,5,82.61%
CV-G,"1,248","1,005",4,80.53%
CV-H,"1,192","1,009",4,84.65%
CV-I,"1,263","1,091",6,86.38%
CV-J,"1,086",915,2,84.25%
CV-K,"1,129",943,2,83.53%
CV-L,"1,216","1,032",3,84.87%
CV-M,"1,076",863,6,80.20%
CV-N,"1,068",782,11,73.22%
CV-O,"1,350","1,106",5,81.93%
CV-P,"1,215",964,1,79.34%
CV-Q,"1,139",881,5,77.35%
CV-R,"1,175",881,7,74.98%
DAY 1-A,"1,427",213,5,14.93%
DAY 1-B,"1,122",739,3,65.86%
DAY 1-C,"1,186",522,8,44.01%
DAY 1-D,870,333,1,38.28%
DAY 1-E,933,641,3,68.70%
DAY 2-A,963,443,2,46%
DAY 2-B,789,511,2,64.77%
DAY 2-C,985,539,4,54.72%
DAY 2-D,964,390,2,40.46%
DAY 3-A,653,271,5,41.50%
DAY 3-B,602,388,2,64.45%
DAY 3-C,"1,142",901,1,78.90%
DAY 3-D,914,499,2,54.60%
DAY 3-E,618,277,2,44.82%
DAY 3-F,"1,020",729,6,71.47%
DAY 3-G,922,484,4,52.49%
DAY 3-H,947,499,3,52.69%
DAY 3-I,"1,156",846,6,73.18%
DAY 3-J,"1,189",719,4,60.47%
DAY 3-K,"1,217",894,7,73.46%
DAY 3-L,"1,066",819,3,76.83%
DAY 4-A,996,513,1,51.51%
DAY 4-B,951,398,3,41.85%
DAY 4-C,859,429,1,49.94%
DAY 5-A,800,367,3,45.87%
DAY 5-B,784,385,4,49.11%
DAY 5-C,720,321,5,44.58%
DAY 5-D,998,443,3,44.39%
DAY 6-A,961,446,3,46.41%
DAY 6-B,934,434,2,46.47%
DAY 6-C,904,388,0,42.92%
DAY 7-A,863,380,4,44.03%
DAY 7-B,501,299,3,59.68%
DAY 8-A,"1,078",704,5,65.31%
DAY 8-B,"1,125",677,3,60.18%
DAY 8-C,"1,122",692,0,61.68%
DAY 8-D,"1,174",676,4,57.58%
DAY 9-A,"1,061",858,2,80.87%
DAY 9-B,"1,126",796,5,70.69%
DAY 9-C,"1,150",866,2,75.30%
DAY 9-D,"1,070",670,6,62.62%
DAY 10-A,866,591,4,68.24%
DAY 10-B,729,504,5,69.14%
DAY 10-C,720,480,1,66.67%
DAY 10-D,882,615,5,69.73%
DAY 10-E,814,533,2,65.48%
DAY 11-A,621,382,1,61.51%
DAY 11-B,982,431,4,43.89%
DAY 11-C,864,433,2,50.12%
DAY 11-D,"1,006",594,7,59.05%
DAY 11-E,770,465,3,60.39%
DAY 12-A,"1,082",691,5,63.86%
DAY 12-B,760,458,5,60.26%
DAY 12-C,"1,040",531,4,51.06%
DAY 12-D,953,405,3,42.50%
DAY 13-A,767,426,5,55.54%
DAY 13-B,770,267,2,34.68%
DAY 14-A,912,514,6,56.36%
DAY 14-B,601,205,2,34.11%
DAY 14-C,914,302,2,33.04%
DAY 14-D,"1,199",559,9,46.62%
DAY 15-A,889,473,4,53.21%
DAY 15-B,"1,088",536,10,49.26%
DAY 15-C,724,379,1,52.35%
DAY 15-D,813,448,6,55.10%
DAY 16-A,845,454,1,53.73%
DAY 16-B,776,350,0,45.10%
DAY 16-C,873,399,2,45.70%
DAY 16-D,"1,202",752,1,62.56%
DAY 16-E,770,451,5,58.57%
DAY 17-A,734,347,3,47.28%
DAY 17-B,"1,112",466,3,41.91%
DAY 17-C,"1,123",495,1,44.08%
DAY 17-D,821,313,2,38.12%
DAY 18-A,699,337,3,48.21%
DAY 18-B,887,571,7,64.37%
DAY 18-C,966,415,5,42.96%
