Precinct,Terry W. Posey,JoAnne Rau,Bill Serr,Total Votes Cast,Overvotes,Undervotes,Contest Total
CV-A,45,61,49,155,0,103,258
CV-B,127,146,117,390,0,357,747
CV-C,92,94,78,264,0,165,429
CV-D,69,85,54,208,0,149,357
CV-E,137,158,141,436,0,320,756
CV-F,159,175,146,480,0,336,816
CV-G,169,200,160,529,0,386,915
CV-H,242,275,227,744,0,474,1218
CV-I1,209,223,199,631,0,353,984
CV-I2,0,0,0,0,0,0,0
CV-J,144,172,156,472,0,272,744
CV-K,164,173,155,492,0,372,864
CV-L,209,219,191,619,0,380,999
CV-M,131,150,121,402,0,333,735
CV-N,157,163,175,495,0,246,741
CV-O,199,215,195,609,0,348,957
CV-P,186,189,164,539,0,355,894
CV-Q,129,155,127,411,0,318,729
CV-R,95,118,91,304,0,236,540
