Precinct,Kathy Crippen,John R. Doll,Mark Peters,Megan E. Murray Sparks,Total Votes Cast,Overvotes,Undervotes,Contest Total
CV-A,57,28,44,53,182,0,76,258
CV-B,150,125,136,155,566,0,181,747
CV-C,84,80,77,98,339,0,90,429
CV-D,70,51,60,79,260,0,97,357
CV-E,152,104,163,141,560,0,196,756
CV-F,160,132,161,160,613,0,203,816
CV-G,175,138,153,164,630,0,285,915
CV-H,250,204,252,197,903,0,315,1218
CV-I1,187,161,206,199,753,0,231,984
CV-I2,0,0,0,0,0,0,0,0
CV-J,163,112,144,169,588,0,156,744
CV-K,153,127,185,175,640,0,224,864
CV-L,191,180,199,204,774,0,225,999
CV-M,150,112,124,131,517,0,218,735
CV-N,149,129,134,153,565,0,176,741
CV-O,197,172,187,186,742,0,215,957
CV-P,187,131,192,164,674,0,220,894
CV-Q,143,108,131,151,533,0,196,729
CV-R,92,91,99,116,398,0,142,540
KT 3-I3,0,0,0,0,0,0,0,0
WASTWP-A,147,137,153,157,594,0,165,759
WASTWP-B,171,160,170,181,682,0,185,867
WASTWP-C,174,140,166,154,634,0,269,903
WASTWP-D,122,116,143,118,499,0,158,657
WASTWP-E,168,154,175,161,658,0,242,900
WASTWP-F,105,111,122,119,457,0,182,639
WASTWP-G,206,181,180,194,761,0,253,1014
WASTWP-H,145,143,154,142,584,0,226,810
WASTWP-I,105,66,74,93,338,0,142,480
WASTWP-J,132,97,143,126,498,0,189,687
WASTWP-K,133,146,151,142,572,0,175,747
WASTWP-L,97,77,82,92,348,0,135,483
WASTWP-M,149,145,156,156,606,0,189,795
WASTWP-N,103,90,87,113,393,0,111,504
WASTWP-O,118,110,120,132,480,0,180,660
WASTWP-P,123,123,128,138,512,0,151,663
WASTWP-Q,120,95,129,131,475,0,203,678
WASTWP-R,116,115,123,134,488,0,112,600
WASTWP-S,117,101,117,128,463,0,179,642
WASTWP-T,99,79,86,109,373,0,146,519
WASTWP-U,159,148,155,152,614,0,190,804
WASTWP-V,147,143,139,144,573,0,174,747
WASTWP-W,105,78,77,100,360,0,99,459
WASTWP-X,119,113,122,122,476,0,157,633
WASTWP-Y,172,148,163,180,663,0,222,885
WASTWP-Z,137,136,148,148,569,0,196,765
WASTWP-AA,187,128,186,174,675,0,210,885
WASTWP-BB,100,85,103,115,403,0,104,507
WASTWP-CC,186,160,191,175,712,0,224,936
