Precinct,YES,NO,Total Votes Cast,Overvotes,Undervotes,Contest Total
CTN 1-A1,122,191,313,0,57,370
CTN 1-A2,0,2,2,0,0,2
CTN 1-B1,31,31,62,0,7,69
CTN 1-B2,0,0,0,0,0,0
CTN 1-B3,164,109,273,0,38,311
CTN 1-C1,225,159,384,0,58,442
CTN 1-C2,11,7,18,0,3,21
CTN 1-D1,122,81,203,0,36,239
CTN 1-D2,17,6,23,0,1,24
CTN 2-A,116,92,208,0,33,241
CTN 2-B,199,112,311,0,36,347
CTN 2-C1,196,115,311,0,39,350
CTN 2-C2,14,18,32,0,7,39
CTN 3-A,196,153,349,0,51,400
CTN 3-B,180,126,306,0,50,356
CTN 3-C,118,120,238,0,34,272
