Precinct,FOR THE LEVY,AGAINST THE LEVY,Total Votes Cast,Overvotes,Undervotes,Contest Total
DAY 1-A,49,46,95,0,3,98
DAY 1-B,184,141,325,0,3,328
DAY 1-C1,73,37,110,0,3,113
DAY 1-C2,40,27,67,0,2,69
DAY 1-D,110,37,147,0,0,147
DAY 1-E,194,103,297,0,5,302
DAY 2-A,44,42,86,0,1,87
DAY 2-B,147,83,230,0,6,236
DAY 2-C1,63,61,124,0,3,127
DAY 2-C2,0,0,0,0,0,0
DAY 2-D1,35,40,75,0,0,75
DAY 2-D2,0,0,0,0,0,0
DAY 3-A,26,23,49,0,1,50
DAY 3-B1,15,59,74,0,0,74
DAY 3-B2,15,17,32,0,2,34
DAY 3-B3,0,0,0,0,0,0
DAY 3-C1,120,151,271,0,2,273
DAY 3-C2,21,53,74,0,0,74
DAY 3-D,51,110,161,0,4,165
DAY 3-E,34,46,80,0,2,82
DAY 3-F1,120,208,328,0,5,333
DAY 3-F2,0,2,2,0,0,2
DAY 3-G1,15,21,36,0,1,37
DAY 3-G2,23,32,55,0,0,55
DAY 3-G3,0,0,0,0,0,0
DAY 3-G4,0,0,0,0,0,0
DAY 3-H,49,64,113,0,1,114
DAY 3-I,120,189,309,0,1,310
DAY 3-J1,16,15,31,0,0,31
DAY 3-J2,54,101,155,0,4,159
DAY 3-J3,11,2,13,0,0,13
DAY 3-K1,127,156,283,1,2,286
DAY 3-K2,12,24,36,0,1,37
DAY 3-L,106,168,274,0,2,276
DAY 4-A,127,75,202,0,7,209
DAY 4-B,98,47,145,0,1,146
DAY 4-C,92,98,190,0,5,195
DAY 5-A,128,42,170,0,4,174
DAY 5-B,115,54,169,0,1,170
DAY 5-C,71,35,106,0,2,108
DAY 5-D,127,57,184,0,7,191
DAY 6-A1,117,42,159,0,14,173
DAY 6-A2,0,1,1,0,0,1
DAY 6-B,114,53,167,0,7,174
DAY 6-C,100,46,146,0,9,155
DAY 7-A,100,29,129,0,7,136
DAY 7-B,91,68,159,0,2,161
DAY 8-A,127,110,237,0,9,246
DAY 8-B,132,91,223,0,2,225
DAY 8-C,115,116,231,0,4,235
DAY 8-D,117,84,201,0,3,204
DAY 9-A,172,212,384,0,9,393
DAY 9-B,158,132,290,0,4,294
DAY 9-C,138,172,310,0,7,317
DAY 9-D,91,80,171,0,2,173
DAY 10-A,118,92,210,0,5,215
DAY 10-B,78,63,141,0,2,143
DAY 10-C,88,76,164,0,2,166
DAY 10-D,81,103,184,0,1,185
DAY 10-E,89,94,183,0,3,186
DAY 11-A,73,70,143,0,1,144
DAY 11-B,45,54,99,0,5,104
DAY 11-C1,81,34,115,0,0,115
DAY 11-C2,1,10,11,0,0,11
DAY 11-D,58,100,158,0,4,162
DAY 11-E,71,68,139,0,7,146
DAY 12-A,124,84,208,0,5,213
DAY 12-B,128,72,200,0,1,201
DAY 12-C,71,75,146,0,2,148
DAY 12-D,54,27,81,0,4,85
DAY 13-A,89,51,140,0,11,151
DAY 13-B,46,14,60,0,3,63
DAY 14-A1,97,34,131,0,9,140
DAY 14-A2,57,27,84,0,3,87
DAY 14-A3,3,5,8,0,0,8
DAY 14-B,42,19,61,0,1,62
DAY 14-C1,76,23,99,0,3,102
DAY 14-C2,10,12,22,0,1,23
DAY 14-C3,0,0,0,0,0,0
DAY 14-D,145,38,183,0,3,186
DAY 15-A,134,37,171,0,8,179
DAY 15-B,139,55,194,0,8,202
DAY 15-C,89,27,116,0,7,123
DAY 15-D1,64,24,88,0,2,90
DAY 15-D2,50,28,78,0,7,85
DAY 16-A,120,54,174,0,3,177
DAY 16-B,94,26,120,0,0,120
DAY 16-C1,100,37,137,0,7,144
DAY 16-C2,0,0,0,0,0,0
DAY 16-D,236,85,321,0,11,332
DAY 16-E,142,46,188,0,12,200
DAY 17-A,71,39,110,0,2,112
DAY 17-B,68,48,116,0,6,122
DAY 17-C,122,47,169,0,5,174
DAY 17-D,85,37,122,0,1,123
DAY 18-A,105,32,137,0,5,142
DAY 18-B1,158,99,257,0,8,265
DAY 18-B2,2,1,3,0,0,3
DAY 18-C,70,40,110,0,2,112
DAY 18-D,75,49,124,0,1,125
DAY 19-A,52,12,64,0,2,66
DAY 19-B,98,54,152,0,2,154
DAY 19-C,120,40,160,0,3,163
DAY 20-A,121,128,249,0,3,252
DAY 20-B,114,132,246,1,6,253
DAY 20-C,64,121,185,0,2,187
DAY 20-D,56,92,148,0,2,150
DAY 21-A,94,36,130,0,5,135
DAY 21-B,78,37,115,0,3,118
DAY 21-C,162,62,224,0,11,235
DAY 22-A,246,106,352,0,11,363
DAY 22-B,179,85,264,0,10,274
DAY 22-C,269,88,357,0,11,368
DAY 23-A,126,120,246,0,5,251
