Precinct,No Valid Petition Filed,Write-in Totals,Write-in: Vanessa W. Furrey,Write-in: NOT VALID,Write-in: Not Assigned,Total Votes Cast,Overvotes,Undervotes,Contest Total,,,,,,,,,
BRK-A1,0,6,1,5,0,6,0,310,316,,,,,,,,,
BRK-A2,0,0,0,0,0,0,0,3,3,,,,,,,,,
BRK-B,0,5,0,5,0,5,0,202,207,,,,,,,,,
BRK-C,0,4,1,3,0,4,0,286,290,,,,,,,,,
CLATWP-A,0,14,7,7,0,14,0,214,228,,,,,,,,,
CLATWP-B1,0,8,6,2,0,8,0,167,175,,,,,,,,,
CLATWP-B2,0,0,0,0,0,0,0,18,18,,,,,,,,,
CLATWP-C1,0,10,8,2,0,10,0,153,163,,,,,,,,,
CLATWP-C2,0,0,0,0,0,0,0,55,55,,,,,,,,,
CLATWP-C3,0,10,6,4,0,10,0,81,91,,,,,,,,,
CLATWP-C4,0,0,0,0,0,0,0,10,10,,,,,,,,,
CTN 1-C2,0,0,0,0,0,0,0,21,21,,,,,,,,,21
PHBG,0,0,0,0,0,0,0,89,89,,,,,,,,,
