Precinct,Dale Winner,Total Votes Cast,Overvotes,Undervotes,Contest Total,,,,,,,,,
BRK-A1,211,211,0,105,316,,,,,,,,,
BRK-A2,3,3,0,0,3,,,,,,,,,
BRK-B,158,158,0,49,207,,,,,,,,,
BRK-C,202,202,0,88,290,,,,,,,,,
CLATWP-A,146,146,0,82,228,,,,,,,,,
CLATWP-B1,114,114,0,61,175,,,,,,,,,
CLATWP-B2,12,12,0,6,18,,,,,,,,,
CLATWP-C1,109,109,0,54,163,,,,,,,,,
CLATWP-C2,31,31,0,24,55,,,,,,,,,
CLATWP-C3,64,64,0,27,91,,,,,,,,,
CLATWP-C4,3,3,0,7,10,,,,,,,,,
CTN 1-C2,11,11,0,10,21,,,,,,,,,21
PHBG,52,52,0,37,89,,,,,,,,,
