Precinct,Todd Burkett,Tina Kelly,Misty D. McDowell,Greg Merkle,Withdrawn Candidate,Dana York,Total Votes Cast,Overvotes,Undervotes,Contest Total
CTN 1-A1,252,84,78,89,45,267,815,0,295,1110
CTN 1-A2,0,0,0,1,1,2,4,0,2,6
CTN 1-B1,22,31,35,31,10,29,158,0,49,207
CTN 1-B2,0,0,0,0,0,0,0,0,0,0
CTN 1-B3,118,124,146,111,59,127,685,0,248,933
CTN 1-C1,165,181,197,153,81,209,986,0,340,1326
CTN 1-C2,12,4,6,3,4,18,47,0,16,63
CTN 1-D1,67,109,160,98,41,78,553,0,164,717
CTN 1-D2,5,6,14,12,3,9,49,0,23,72
CTN 2-A,109,80,97,75,58,91,510,0,213,723
CTN 2-B,134,143,208,140,57,140,822,3,216,1041
CTN 2-C1,119,174,208,152,55,102,810,0,240,1050
CTN 2-C2,11,17,26,12,11,13,90,0,27,117
CTN 3-A,137,186,206,180,68,150,927,0,273,1200
CTN 3-B,101,176,206,196,69,115,863,0,205,1068
CTN 3-C,80,105,140,125,47,88,585,0,231,816
