Precinct,Ryan Farmer,Dennis Lieberman,Total Votes Cast,Overvotes,Undervotes,Contest Total
CTN 1-A1,323,44,367,0,3,370
CTN 1-A2,2,0,2,0,0,2
CTN 1-B1,34,35,69,0,0,69
CTN 1-B2,0,0,0,0,0,0
CTN 1-B3,152,155,307,0,4,311
CTN 1-C1,277,158,435,0,7,442
CTN 1-C2,20,1,21,0,0,21
CTN 1-D1,105,128,233,0,6,239
CTN 1-D2,5,19,24,0,0,24
CTN 2-A,146,85,231,0,10,241
CTN 2-B,200,141,341,0,6,347
CTN 2-C1,178,167,345,0,5,350
CTN 2-C2,23,16,39,0,0,39
CTN 3-A,203,190,393,0,7,400
CTN 3-B,169,180,349,0,7,356
CTN 3-C,129,133,262,0,10,272
