Precinct,Darius Beckham,Jacob Davis,Darryl Fairchild,Karen Wick,Total Votes Cast,Overvotes,Undervotes,Contest Total
DAY 1-A,53,33,40,50,176,2,18,196
DAY 1-B,154,134,160,140,588,0,68,656
DAY 1-C1,52,51,63,41,207,0,19,226
DAY 1-C2,36,30,34,27,127,0,11,138
DAY 1-D,31,107,105,24,267,0,27,294
DAY 1-E,68,206,213,74,561,0,43,604
DAY 2-A,30,36,39,37,142,0,32,174
DAY 2-B,81,122,134,89,426,0,46,472
DAY 2-C1,46,54,53,46,199,0,55,254
DAY 2-C2,0,0,0,0,0,0,0,0
DAY 2-D1,33,27,34,35,129,0,21,150
DAY 2-D2,0,0,0,0,0,0,0,0
DAY 3-A,15,20,29,21,85,0,15,100
DAY 3-B1,22,28,36,24,110,0,38,148
DAY 3-B2,14,10,14,11,49,0,19,68
DAY 3-B3,0,0,0,0,0,0,0,0
DAY 3-C1,126,118,110,114,468,0,78,546
DAY 3-C2,29,35,40,30,134,0,14,148
DAY 3-D,68,56,73,78,275,0,55,330
DAY 3-E,33,37,39,42,151,0,13,164
DAY 3-F1,141,120,158,145,564,0,102,666
DAY 3-F2,0,1,0,2,3,0,1,4
DAY 3-G1,17,15,13,20,65,0,9,74
DAY 3-G2,16,20,18,30,84,0,26,110
DAY 3-G3,0,0,0,0,0,0,0,0
DAY 3-G4,0,0,0,0,0,0,0,0
DAY 3-H,42,55,58,43,198,0,30,228
DAY 3-I,176,89,114,142,521,0,99,620
DAY 3-J1,12,12,14,14,52,0,10,62
DAY 3-J2,70,53,68,67,258,0,60,318
DAY 3-J3,6,4,7,3,20,2,4,26
DAY 3-K1,119,128,130,112,489,0,83,572
DAY 3-K2,11,21,17,14,63,0,11,74
DAY 3-L,149,90,118,122,479,0,73,552
DAY 4-A,93,89,120,81,383,0,35,418
DAY 4-B,69,64,86,49,268,0,24,292
DAY 4-C,79,105,117,58,359,0,31,390
DAY 5-A,82,64,95,50,291,0,57,348
DAY 5-B,71,73,105,49,298,0,42,340
DAY 5-C,32,53,74,33,192,0,24,216
DAY 5-D,107,61,94,72,334,0,48,382
DAY 6-A1,97,48,87,60,292,0,54,346
DAY 6-A2,0,1,1,0,2,0,0,2
DAY 6-B,93,46,98,54,291,0,57,348
DAY 6-C,81,52,85,51,269,0,41,310
DAY 7-A,65,41,66,58,230,0,42,272
DAY 7-B,99,60,77,67,303,0,19,322
DAY 8-A,89,109,124,105,427,0,65,492
DAY 8-B,88,84,103,102,377,0,73,450
DAY 8-C,93,91,115,103,402,0,68,470
DAY 8-D,66,122,114,48,350,0,58,408
