Precinct,Jeffrey J. Mims Jr.,Shenise Turner-Sloss,Total Votes Cast,Overvotes,Undervotes,Contest Total
DAY 1-A,64,33,97,0,1,98
DAY 1-B,139,184,323,0,5,328
DAY 1-C1,53,58,111,0,2,113
DAY 1-C2,31,37,68,0,1,69
DAY 1-D,36,111,147,0,0,147
DAY 1-E,68,228,296,0,6,302
DAY 2-A,40,44,84,0,3,87
DAY 2-B,85,146,231,0,5,236
DAY 2-C1,48,72,120,0,7,127
DAY 2-C2,0,0,0,0,0,0
DAY 2-D1,43,29,72,0,3,75
DAY 2-D2,0,0,0,0,0,0
DAY 3-A,28,19,47,0,3,50
DAY 3-B1,37,32,69,0,5,74
DAY 3-B2,18,13,31,0,3,34
DAY 3-B3,0,0,0,0,0,0
DAY 3-C1,155,102,257,0,16,273
DAY 3-C2,43,26,69,0,5,74
DAY 3-D,86,75,161,0,4,165
DAY 3-E,21,59,80,0,2,82
DAY 3-F1,181,140,321,0,12,333
DAY 3-F2,2,0,2,0,0,2
DAY 3-G1,20,17,37,0,0,37
DAY 3-G2,26,25,51,0,4,55
DAY 3-G3,0,0,0,0,0,0
DAY 3-G4,0,0,0,0,0,0
DAY 3-H,65,47,112,0,2,114
DAY 3-I,182,109,291,0,19,310
DAY 3-J1,17,13,30,0,1,31
DAY 3-J2,73,71,144,0,15,159
DAY 3-J3,8,4,12,0,1,13
DAY 3-K1,143,132,275,0,11,286
DAY 3-K2,16,20,36,0,1,37
DAY 3-L,163,105,268,0,8,276
DAY 4-A,93,114,207,0,2,209
DAY 4-B,62,82,144,0,2,146
DAY 4-C,69,122,191,0,4,195
DAY 5-A,73,100,173,0,1,174
DAY 5-B,73,96,169,0,1,170
DAY 5-C,40,68,108,0,0,108
DAY 5-D,92,99,191,0,0,191
DAY 6-A1,95,75,170,0,3,173
DAY 6-A2,0,1,1,0,0,1
DAY 6-B,93,80,173,0,1,174
DAY 6-C,75,79,154,0,1,155
DAY 7-A,68,66,134,0,2,136
DAY 7-B,77,83,160,0,1,161
DAY 8-A,112,119,231,0,15,246
DAY 8-B,113,101,214,0,11,225
DAY 8-C,115,114,229,0,6,235
DAY 8-D,61,137,198,0,6,204
DAY 9-A,206,182,388,0,5,393
DAY 9-B,115,167,282,0,12,294
DAY 9-C,136,168,304,0,13,317
DAY 9-D,93,73,166,0,7,173
DAY 10-A,71,135,206,0,9,215
DAY 10-B,64,65,129,0,14,143
DAY 10-C,56,102,158,0,8,166
DAY 10-D,84,99,183,0,2,185
DAY 10-E,77,101,178,0,8,186
DAY 11-A,61,77,138,0,6,144
DAY 11-B,44,53,97,0,7,104
DAY 11-C1,52,59,111,0,4,115
DAY 11-C2,6,4,10,0,1,11
DAY 11-D,83,77,160,0,2,162
DAY 11-E,77,65,142,0,4,146
DAY 12-A,80,128,208,0,5,213
DAY 12-B,63,133,196,0,5,201
DAY 12-C,52,87,139,0,9,148
DAY 12-D,40,43,83,0,2,85
DAY 13-A,77,71,148,0,3,151
DAY 13-B,39,23,62,0,1,63
DAY 14-A1,75,63,138,0,2,140
DAY 14-A2,46,40,86,0,1,87
DAY 14-A3,4,4,8,0,0,8
DAY 14-B,33,28,61,0,1,62
DAY 14-C1,51,50,101,0,1,102
DAY 14-C2,14,9,23,0,0,23
DAY 14-C3,0,0,0,0,0,0
DAY 14-D,111,75,186,0,0,186
DAY 15-A,77,100,177,0,2,179
DAY 15-B,105,94,199,0,3,202
DAY 15-C,58,64,122,1,0,123
DAY 15-D1,57,30,87,0,3,90
DAY 15-D2,52,33,85,0,0,85
DAY 16-A,91,84,175,0,2,177
DAY 16-B,57,61,118,0,2,120
DAY 16-C1,54,87,141,0,3,144
DAY 16-C2,0,0,0,0,0,0
DAY 16-D,161,166,327,0,5,332
DAY 16-E,102,97,199,0,1,200
DAY 17-A,56,56,112,0,0,112
DAY 17-B,48,74,122,0,0,122
DAY 17-C,91,82,173,0,1,174
DAY 17-D,65,54,119,0,4,123
DAY 18-A,55,86,141,0,1,142
DAY 18-B1,139,119,258,0,7,265
DAY 18-B2,2,1,3,0,0,3
DAY 18-C,50,60,110,0,2,112
DAY 18-D,58,64,122,0,3,125
DAY 19-A,38,26,64,0,2,66
DAY 19-B,73,81,154,0,0,154
DAY 19-C,88,74,162,0,1,163
DAY 20-A,123,110,233,0,19,252
DAY 20-B,123,122,245,0,8,253
DAY 20-C,86,87,173,0,14,187
DAY 20-D,74,70,144,0,6,150
DAY 21-A,58,75,133,0,2,135
DAY 21-B,53,65,118,0,0,118
DAY 21-C,126,107,233,0,2,235
DAY 22-A,170,187,357,0,6,363
DAY 22-B,127,144,271,0,3,274
DAY 22-C,199,167,366,0,2,368
DAY 23-A,98,146,244,0,7,251
