Precinct,Ann Marie Gallin,Jamica Garrison,Chrisondra Goodwine,Virgil Goodwine II,Ken Hayes,Joe Lacey,Jocelyn Rhynard,Total Votes Cast,Overvotes,Undervotes,Contest Total
DAY 1-A,44,35,33,24,32,43,49,260,0,132,392
DAY 1-B,140,145,125,102,129,130,172,943,4,365,1312
DAY 1-C1,35,48,47,45,46,46,55,322,0,130,452
DAY 1-C2,31,32,30,22,26,29,30,200,0,76,276
DAY 1-D,74,93,26,24,73,29,108,427,0,161,588
DAY 1-E,134,183,60,39,163,80,197,856,0,352,1208
DAY 2-A,36,25,26,17,35,48,35,222,0,126,348
DAY 2-B,104,115,75,45,99,81,155,674,0,270,944
DAY 2-C1,53,49,40,36,54,40,67,339,0,169,508
DAY 2-D1,34,37,26,19,30,29,32,207,0,93,300
DAY 3-A,17,13,18,8,23,15,29,123,0,77,200
DAY 3-E,39,36,33,22,41,37,45,253,0,75,328
DAY 3-F1,141,99,90,64,109,136,142,781,0,551,1332
DAY 3-G1,15,13,10,10,12,15,12,87,0,61,148
DAY 3-H,43,43,30,19,43,56,68,302,0,154,456
DAY 3-J1,13,13,11,11,15,13,9,85,0,39,124
DAY 4-A,72,119,87,66,77,82,93,596,0,240,836
DAY 4-B,47,84,61,35,54,59,76,416,0,168,584
DAY 4-C,66,71,47,49,63,65,136,497,0,283,780
DAY 5-A,57,98,72,50,57,69,83,486,0,210,696
DAY 5-B,46,87,64,32,60,72,86,447,0,233,680
DAY 5-C,34,57,51,22,37,43,63,307,0,125,432
DAY 5-D,54,116,90,86,63,68,82,559,0,205,764
DAY 6-A1,45,105,83,69,48,77,68,495,0,197,692
DAY 6-B,44,110,74,67,60,69,59,483,0,213,696
DAY 6-C,41,76,80,70,45,71,79,462,0,158,620
DAY 7-A,32,68,71,69,39,67,45,391,0,153,544
DAY 7-B,43,89,71,73,66,66,75,483,0,161,644
DAY 8-A,101,85,76,59,89,103,117,630,0,354,984
DAY 8-B,89,87,73,53,86,71,101,560,0,340,900
DAY 8-C,105,106,80,52,93,87,118,641,0,299,940
DAY 8-D,91,97,59,48,92,70,88,545,0,271,816
DAY 9-A,157,123,130,95,138,153,224,1020,0,552,1572
DAY 9-B,124,115,105,72,121,107,146,790,0,386,1176
DAY 9-C,122,119,99,62,105,119,139,765,0,503,1268
DAY 9-D,60,61,56,39,63,63,82,424,0,268,692
DAY 10-A,93,78,58,40,89,73,101,532,0,328,860
DAY 10-B,51,52,48,27,104,50,75,407,0,165,572
DAY 10-C,58,83,61,42,81,58,76,459,0,205,664
DAY 10-D,77,79,42,31,124,64,110,527,0,213,740
DAY 10-E,83,76,57,44,83,76,92,511,0,233,744
DAY 11-A,72,48,41,31,60,68,74,394,0,182,576
DAY 11-B,46,40,39,30,30,41,49,275,0,141,416
DAY 11-C1,46,57,39,31,41,44,72,330,0,130,460
DAY 11-D,77,57,52,38,65,74,76,439,0,209,648
DAY 11-E,49,53,56,30,51,48,51,338,0,246,584
DAY 12-A,90,91,74,54,104,76,106,595,0,257,852
DAY 12-B,67,88,62,35,98,59,156,565,0,239,804
DAY 12-C,59,68,47,37,70,50,74,405,0,187,592
DAY 12-D,45,41,25,24,33,33,51,252,0,88,340
DAY 13-A,47,75,86,59,49,68,62,446,0,158,604
DAY 13-B,19,42,21,22,20,22,25,171,0,81,252
DAY 14-A1,36,88,74,47,51,70,68,434,4,122,560
DAY 14-B,8,37,20,25,24,25,24,163,0,85,248
DAY 14-C1,24,62,43,36,39,54,39,297,0,111,408
DAY 14-D,52,107,90,54,61,87,75,526,0,218,744
DAY 15-A,49,105,91,67,42,85,79,518,0,198,716
DAY 15-B,44,120,108,83,60,99,74,588,0,220,808
DAY 15-C,23,77,70,36,41,48,56,351,0,141,492
DAY 15-D2,15,44,54,40,30,41,32,256,0,84,340
DAY 16-A,38,90,87,70,63,79,78,505,0,203,708
DAY 16-B,28,63,55,51,41,45,52,335,0,145,480
