Precinct,Andrew Gough,Jake Jagels,Ryan Ley,Brad Rarick,Courtney Rietman,Total Votes Cast,Overvotes,Undervotes,Contest Total
ENG-A,184,121,69,178,201,753,0,231,984
ENG-B,100,140,34,118,165,557,0,220,777
ENG-C,115,85,56,99,133,488,0,145,633
ENG-D,132,119,54,136,159,600,0,168,768
ENG-E,141,118,66,129,188,642,0,243,885
ENG-F,132,108,46,131,148,565,0,161,726
ENG-G,132,148,51,139,173,643,0,233,876
ENG-H,75,98,54,89,119,435,0,195,630
ENG-I,103,83,39,104,142,471,0,117,588
ENG-J,99,101,42,86,146,474,0,207,681
