Precinct,Clinton Ball,Georgeann Godsey,Roland Winburn,Total Votes Cast,Overvotes,Undervotes,Contest Total
DAY 3-G4,0,0,0,0,0,0,0
DAY 16-C2,0,0,0,0,0,0,0
DAY 18-B2,1,1,2,4,0,2,6
HARTWP-A,55,55,40,150,0,46,196
HARTWP-B,100,49,48,197,0,77,274
HARTWP-C,61,40,39,140,2,56,198
HARTWP-D,97,163,193,453,0,173,626
HARTWP-E,31,37,28,96,0,34,130
HARTWP-F,21,68,100,189,0,67,256
HARTWP-G,53,85,128,266,0,112,378
HARTWP-H,48,99,103,250,0,108,358
HARTWP-I,31,72,91,194,0,80,274
HARTWP-J,58,89,167,314,0,114,428
HARTWP-K,34,53,79,166,0,82,248
HARTWP-L,72,174,258,504,0,178,682
HARTWP-M,85,152,286,523,0,225,748
HARTWP-N,98,32,35,165,0,79,244
HARTWP-O,53,138,211,402,0,152,554
