Precinct,Nancy L. Byrge,Total Votes Cast,Overvotes,Undervotes,Contest Total
HUB 1-A,119,119,0,76,195
HUB 1-B,226,226,0,98,324
HUB 1-C,121,121,0,68,189
HUB 1-D1,171,171,0,80,251
HUB 1-D2,0,0,0,0,0
HUB 2-A,176,176,0,86,262
HUB 2-B,198,198,0,104,302
HUB 3-A,135,135,0,69,204
HUB 3-B,82,82,0,39,121
HUB 3-C,116,116,0,58,174
HUB 3-D,148,148,0,80,228
HUB 3-E,96,96,0,62,158
HUB 4-A,140,140,0,57,197
HUB 4-B,141,141,0,54,195
HUB 4-C,117,117,0,78,195
HUB 4-D,156,156,0,45,201
HUB 5-A,117,117,0,65,182
HUB 5-B1,140,140,0,58,198
HUB 5-B2,0,0,0,0,0
HUB 5-C,138,138,0,58,196
HUB 5-D,118,118,0,49,167
HUB 6-A,127,127,0,76,203
HUB 6-B,192,192,0,107,299
HUB 6-C,204,204,0,88,292
HUB 6-D,160,160,0,87,247
