Precinct,Jeffrey Gore,Write-in Totals,Write-in: Thomas F. McMasters,Write-in: NOT VALID,Write-in: Not Assigned,Total Votes Cast,Overvotes,Undervotes,Contest Total
HUB 1-A,140,24,19,5,0,164,0,31,195
HUB 1-B,230,41,36,5,0,271,0,53,324
HUB 1-C,139,18,12,6,0,157,1,31,189
HUB 1-D1,169,35,25,10,0,204,0,47,251
HUB 1-D2,0,0,0,0,0,0,0,0,0
HUB 2-A,203,13,9,4,0,216,0,46,262
HUB 2-B,207,39,30,9,0,246,0,56,302
HUB 3-A,152,21,16,5,0,173,0,31,204
HUB 3-B,88,9,4,5,0,97,0,24,121
HUB 3-C,128,19,13,6,0,147,0,27,174
HUB 3-D,170,19,9,10,0,189,0,39,228
HUB 3-E,107,16,11,5,0,123,0,35,158
HUB 4-A,139,22,14,8,0,161,0,36,197
HUB 4-B,132,22,14,8,0,154,0,41,195
HUB 4-C,128,20,16,4,0,148,0,47,195
HUB 4-D,157,17,13,4,0,174,0,27,201
HUB 5-A,137,14,9,5,0,151,0,31,182
HUB 5-B1,145,17,12,5,0,162,0,36,198
HUB 5-B2,0,0,0,0,0,0,0,0,0
HUB 5-C,153,21,16,5,0,174,0,22,196
HUB 5-D,113,25,15,10,0,138,0,29,167
HUB 6-A,136,25,20,5,0,161,0,42,203
HUB 6-B,178,82,69,13,0,260,0,39,299
HUB 6-C,185,76,75,1,0,261,0,31,292
HUB 6-D,177,28,24,4,0,205,0,42,247
