Precinct,Kelly G. Bledsoe,Mark A. Combs,Barb Mirlisena,Steven Zbinden,Total Votes Cast,Overvotes,Undervotes,Contest Total
DAY 3-C1,148,158,103,105,514,0,305,819
DAY 3-G3,0,0,0,0,0,0,0,0
DAY 3-I,181,190,101,112,584,0,346,930
DAY 3-L,156,149,93,101,499,0,329,828
HUB 1-A,103,110,66,77,356,0,229,585
HUB 1-B,191,193,146,143,673,0,299,972
HUB 1-C,121,104,81,83,389,0,178,567
HUB 1-D1,171,152,91,115,529,0,224,753
HUB 2-A,186,129,98,97,510,0,276,786
HUB 2-B,191,156,96,142,585,0,321,906
HUB 3-A,130,134,72,80,416,0,196,612
HUB 3-B,68,52,44,31,195,0,168,363
HUB 3-C,100,91,73,82,346,0,176,522
HUB 3-D,128,127,74,87,416,0,268,684
HUB 3-E,99,78,50,59,286,0,188,474
HUB 4-A,124,100,78,79,381,0,210,591
HUB 4-B,129,105,76,86,396,0,189,585
HUB 4-C,112,92,71,83,358,0,227,585
HUB 4-D,124,113,81,87,405,0,198,603
HUB 5-A,117,97,82,62,358,0,188,546
HUB 5-B1,112,119,73,81,385,0,209,594
HUB 5-C,132,105,80,87,404,0,184,588
HUB 5-D,94,104,72,64,334,0,167,501
HUB 6-A,126,105,81,85,397,0,212,609
HUB 6-B,149,162,111,147,569,0,328,897
HUB 6-C,186,160,107,142,595,0,281,876
HUB 6-D,173,150,70,105,498,0,243,741
RV-B2,7,6,2,2,17,0,13,30
RV-K2,0,0,0,0,0,0,0,0
