Precinct,Laura L. Arber,Dan Palmer,Tyler Scott,Total Votes Cast,Overvotes,Undervotes,Contest Total
KT 1-A,113,92,65,270,0,92,362
KT 1-B,97,81,65,243,0,91,334
KT 1-C,156,140,108,404,0,156,560
KT 1-D,146,124,117,387,2,133,522
KT 1-E1,84,72,52,208,0,74,282
KT 1-E2,41,43,31,115,0,45,160
KT 1-F,146,118,70,334,0,102,436
KT 1-G,124,96,65,285,0,99,384
KT 1-H,145,118,79,342,0,100,442
KT 1-I,155,118,106,379,0,129,508
KT 2-A,155,122,93,370,0,128,498
KT 2-B,224,194,96,514,0,136,650
KT 2-C,196,163,106,465,0,127,592
KT 2-D,168,134,91,393,0,145,538
KT 2-E,167,153,118,438,0,118,556
KT 2-F,143,101,83,327,0,105,432
KT 2-G,237,206,141,584,0,172,756
KT 2-H,224,202,121,547,0,139,686
KT 2-I,182,158,102,442,0,112,554
KT 2-J,93,66,39,198,0,54,252
KT 3-A,193,174,76,443,0,139,582
KT 3-B,252,225,82,559,0,121,680
KT 3-C,223,194,121,538,0,160,698
KT 3-D,109,78,50,237,0,87,324
KT 3-E,196,174,88,458,0,126,584
KT 3-F,143,141,59,343,0,105,448
KT 3-G,216,180,67,463,0,109,572
KT 3-H,208,189,90,487,0,105,592
KT 3-I1,229,218,73,520,0,106,626
KT 3-I2,2,1,0,3,0,1,4
KT 3-I3,0,0,0,0,0,0,0
KT 3-J,250,232,85,567,0,139,706
KT 3-K,271,203,120,594,0,170,764
KT 4-A,318,312,101,731,0,145,876
KT 4-B,301,297,71,669,0,145,814
KT 4-C,148,128,77,353,0,95,448
KT 4-D,251,229,99,579,2,153,734
KT 4-E,172,157,91,420,0,126,546
KT 4-F,254,209,101,564,0,134,698
KT 4-G,330,308,152,790,0,194,984
KT 4-H,97,80,63,240,2,110,352
KT 4-I,252,210,90,552,0,152,704
KT 4-J,237,195,85,517,0,113,630
KT 4-K,215,183,76,474,0,128,602
