Precinct,Bob Scott,Bryan N. Suddith,Total Votes Cast,Overvotes,Undervotes,Contest Total
KT 1-A,62,113,175,0,6,181
KT 1-B,77,87,164,0,3,167
KT 1-C,141,131,272,0,8,280
KT 1-D,103,147,250,0,11,261
KT 1-E1,62,77,139,0,2,141
KT 1-E2,29,46,75,0,5,80
KT 1-F,74,137,211,0,7,218
KT 1-G,77,104,181,0,11,192
KT 1-H,84,132,216,0,5,221
KT 1-I,116,134,250,0,4,254
KT 2-A,93,144,237,0,12,249
KT 2-B,138,183,321,0,4,325
KT 2-C,103,191,294,0,2,296
KT 2-D,113,145,258,0,11,269
KT 2-E,113,162,275,0,3,278
KT 2-F,90,119,209,0,7,216
KT 2-G,170,198,368,0,10,378
KT 2-H,149,187,336,0,7,343
KT 2-I,105,169,274,0,3,277
KT 2-J,41,81,122,0,4,126
KT 3-A,78,204,282,0,9,291
KT 3-B,93,238,331,0,9,340
KT 3-C,139,200,339,0,10,349
KT 3-D,54,98,152,0,10,162
KT 3-E,103,187,290,0,2,292
KT 3-F,91,121,212,0,12,224
KT 3-G,90,189,279,0,7,286
KT 3-H,102,187,289,0,7,296
KT 3-I1,91,212,303,0,10,313
KT 3-I2,0,2,2,0,0,2
KT 3-I3,0,0,0,0,0,0
KT 3-J,103,244,347,0,6,353
KT 3-K,129,246,375,0,7,382
KT 4-A,123,298,421,0,17,438
KT 4-B,91,299,390,0,17,407
KT 4-C,86,135,221,0,3,224
KT 4-D,122,236,358,0,9,367
KT 4-E,102,167,269,0,4,273
KT 4-F,84,256,340,0,9,349
KT 4-G,151,329,480,0,12,492
KT 4-H,78,87,165,0,11,176
KT 4-I,87,249,336,0,16,352
KT 4-J,62,241,303,0,12,315
KT 4-K,83,211,294,0,7,301
