Precinct,Patricia N. Campbell,Candidate Withdrawn,Total Votes Cast,Overvotes,Undervotes,Contest Total
CV-A,65,9,74,0,12,86
CV-B,140,50,190,0,59,249
CV-C,97,23,120,0,23,143
CV-D,76,22,98,0,21,119
CV-E,145,53,198,1,53,252
CV-F,171,52,223,0,49,272
CV-G,189,50,239,0,66,305
CV-H,212,81,293,0,113,406
CV-I1,192,79,271,0,57,328
CV-I2,0,0,0,0,0,0
CV-J,137,48,185,0,63,248
CV-K,183,40,223,0,65,288
CV-L,184,76,260,0,73,333
CV-M,144,52,196,0,49,245
CV-N,161,39,200,0,47,247
CV-O,191,51,242,0,77,319
CV-P,156,72,228,0,70,298
CV-Q,141,40,181,0,62,243
CV-R,106,36,142,0,38,180
KT 1-A,111,33,144,0,37,181
KT 1-B,94,49,143,0,24,167
KT 1-C,163,66,229,0,51,280
KT 1-D,163,52,215,0,46,261
KT 1-E1,99,23,122,0,19,141
KT 1-E2,53,19,72,0,8,80
KT 1-F,149,39,188,0,30,218
KT 1-G,119,38,157,0,35,192
KT 1-H,148,49,197,0,24,221
KT 1-I,181,38,219,0,35,254
KT 2-A,151,48,199,0,50,249
KT 2-B,223,55,278,0,47,325
KT 2-C,176,69,245,0,51,296
KT 2-D,187,44,231,0,38,269
KT 2-E,176,61,237,0,41,278
KT 2-F,134,41,175,0,41,216
KT 2-G,210,96,306,0,72,378
KT 2-H,233,70,303,0,40,343
KT 2-I,185,55,240,0,37,277
KT 2-J,97,22,119,0,7,126
KT 3-A,188,69,257,0,34,291
KT 3-B,229,50,279,0,61,340
KT 3-C,213,74,287,0,62,349
KT 3-D,112,23,135,0,27,162
KT 3-E,192,52,244,0,48,292
KT 3-F,130,52,182,0,42,224
KT 3-G,191,58,249,0,37,286
KT 3-H,208,46,254,0,42,296
KT 3-I1,206,59,265,0,48,313
KT 3-I2,1,1,2,0,0,2
KT 3-I3,0,0,0,0,0,0
KT 3-J,245,55,300,0,53,353
KT 3-K,266,74,340,0,42,382
KT 4-A,300,64,364,0,74,438
KT 4-B,290,50,340,0,67,407
KT 4-C,133,54,187,0,37,224
KT 4-D,252,60,312,1,54,367
KT 4-E,180,46,226,0,47,273
KT 4-F,224,59,283,0,66,349
KT 4-G,327,76,403,1,88,492
KT 4-H,95,46,141,0,35,176
KT 4-I,242,49,291,0,61,352
KT 4-J,233,36,269,1,45,315
KT 4-K,205,49,254,0,47,301
MOR 1-A1,15,11,26,0,8,34
MOR 1-A2,17,6,23,0,6,29
MOR 2-A1,99,34,133,0,30,163
MOR 2-A2,33,16,49,1,18,68
MOR 3-A1,73,29,102,0,19,121
MOR 3-A2,0,0,0,0,0,0
MOR 4-A,53,11,64,0,12,76
MOR 4-B,23,11,34,0,12,46
WASTWP-A,148,40,188,0,65,253
WASTWP-B,136,80,216,0,73,289
WASTWP-C,164,66,230,0,71,301
WASTWP-D,120,53,173,0,46,219
WASTWP-E,200,45,245,0,55,300
WASTWP-F,106,61,167,0,46,213
WASTWP-G,199,69,268,0,70,338
WASTWP-H,139,60,199,0,71,270
WASTWP-I,113,20,133,0,27,160
WASTWP-J,115,66,181,0,48,229
WASTWP-K,164,39,203,0,46,249
WASTWP-L,106,34,140,0,21,161
WASTWP-M,151,62,213,0,52,265
WASTWP-N,116,32,148,0,20,168
WASTWP-O,114,50,164,0,56,220
WASTWP-P,120,39,159,0,62,221
WASTWP-Q,128,56,184,0,42,226
WASTWP-R,99,42,141,0,59,200
WASTWP-S,136,46,182,0,32,214
WASTWP-T,100,39,139,0,34,173
WASTWP-U,156,58,214,0,54,268
WASTWP-V,128,55,183,0,66,249
WASTWP-W,90,30,120,0,33,153
WASTWP-X,102,56,158,0,53,211
WASTWP-Y,166,65,231,0,64,295
WASTWP-Z,127,56,183,0,72,255
WASTWP-AA,169,42,211,1,83,295
WASTWP-BB,120,24,144,0,25,169
WASTWP-CC,193,56,249,1,62,312
