Precinct,Toby K. Henderson,Bill Lautar,Mark J. Martin,Total Votes Cast,Overvotes,Undervotes,Contest Total
KT 1-A,86,86,86,258,0,285,543
KT 1-B,79,92,84,255,0,246,501
KT 1-C,124,141,118,383,0,457,840
KT 1-D,122,131,118,371,0,412,783
KT 1-E1,77,85,72,234,0,189,423
KT 1-F,107,107,106,320,0,334,654
KT 1-G,97,102,101,300,0,276,576
KT 1-H,101,98,104,303,0,360,663
KT 1-I,131,146,131,408,0,354,762
KT 2-A,104,124,113,341,0,406,747
KT 2-B,185,191,183,559,0,416,975
KT 2-C,160,159,154,473,0,415,888
KT 2-D,125,138,120,383,0,424,807
KT 2-E,158,173,157,488,0,346,834
KT 2-F,100,111,95,306,0,342,648
KT 2-G,199,235,205,639,0,495,1134
KT 2-H,203,209,195,607,0,422,1029
KT 2-I,156,162,152,470,0,361,831
KT 2-J,68,66,65,199,0,179,378
KT 3-A,155,157,144,456,0,417,873
KT 3-B,165,184,176,525,0,495,1020
KT 3-C,170,218,173,561,0,486,1047
KT 3-D,77,87,87,251,0,235,486
KT 3-E,158,171,163,492,0,384,876
KT 3-F,111,130,122,363,0,309,672
KT 3-G,157,163,147,467,0,391,858
KT 3-H,151,165,162,478,0,410,888
KT 3-I1,176,202,181,559,0,380,939
KT 3-J,184,192,174,550,0,509,1059
KT 3-K,200,222,202,624,0,522,1146
KT 4-A,207,226,198,631,0,683,1314
KT 4-B,190,191,201,582,0,639,1221
KT 4-C,126,132,122,380,0,292,672
KT 4-D,198,183,180,561,0,540,1101
KT 4-E,135,149,136,420,0,399,819
KT 4-F,175,198,184,557,0,490,1047
KT 4-G,266,279,255,800,0,676,1476
KT 4-H,81,88,89,258,0,270,528
KT 4-I,193,204,187,584,0,472,1056
KT 4-J,184,190,183,557,0,388,945
KT 4-K,134,156,146,436,0,467,903
MOR 1-A1,14,14,12,40,0,62,102
MOR 3-A2,0,0,0,0,0,0,0
