Precinct,Damien McCormick,AJ Ricker,Marilyn Steiner,Terrance Tolbert,Total Votes Cast,Overvotes,Undervotes,Contest Total
DAY 2-C2,0,0,0,0,0,0,0,0
DAY 2-D2,0,0,0,0,0,0,0,0
DAY 3-C2,34,37,34,34,139,0,83,222
DAY 3-J3,9,9,7,8,33,0,6,39
DAY 3-K1,127,113,120,142,502,0,356,858
DAY 11-C2,4,3,6,6,19,0,14,33
HUB 5-B2,0,0,0,0,0,0,0,0
PM,29,25,33,28,115,0,59,174
RV-A,132,136,141,123,532,0,224,756
RV-B1,52,59,61,50,222,0,171,393
RV-C,90,86,95,91,362,0,256,618
RV-E1,93,71,83,55,302,0,202,504
RV-F,97,83,104,91,375,0,207,582
RV-G,94,81,95,74,344,0,175,519
RV-H,48,28,34,18,128,0,79,207
RV-I,80,65,83,56,284,0,166,450
RV-J,109,83,115,83,390,0,162,552
RV-L2,20,23,26,24,93,0,21,114
RV-M,122,105,109,114,450,0,192,642
RV-N,61,63,56,47,227,0,112,339
RV-P,123,116,135,108,482,0,235,717
