Precinct,Drew Barry,Bob Matthews,Terry Posey Jr.,Total Votes Cast,Overvotes,Undervotes,Contest Total
MBG 1-A1,144,63,154,361,0,277,638
MBG 1-A2,0,0,0,0,0,0,0
MBG 1-A3,1,0,1,2,0,0,2
MBG 1-B1,119,73,117,309,0,209,518
MBG 1-B2,0,0,0,0,0,0,0
MBG 1-C,155,76,146,377,0,261,638
MBG 2-A1,72,35,85,192,0,204,396
MBG 2-A2,0,0,0,0,0,0,0
MBG 2-B,73,62,82,217,0,167,384
MBG 2-C,126,64,130,320,0,228,548
MBG 3-A,81,49,80,210,0,134,344
MBG 3-B,121,71,140,332,0,256,588
MBG 3-C,100,84,96,280,0,178,458
MBG 3-D,120,68,145,333,0,219,552
MBG 4-A,127,62,123,312,0,226,538
MBG 4-B,134,66,131,331,0,203,534
MBG 4-C,118,47,106,271,0,177,448
MBG 4-D,243,107,207,557,0,257,814
MIATWP-A,117,40,123,280,0,100,380
MIATWP-B,81,43,87,211,0,75,286
MIATWP-C,126,61,123,310,0,156,466
MIATWP-D1,90,28,94,212,0,80,292
MIATWP-D2,20,12,15,47,0,7,54
MIATWP-E,240,81,242,563,0,147,710
MIATWP-F,90,34,103,227,0,77,304
MIATWP-G,67,38,66,171,0,77,248
MIATWP-H,60,45,61,166,0,96,262
MIATWP-I,54,25,47,126,0,68,194
MIATWP-J1,105,53,98,256,0,198,454
MIATWP-J2,26,22,24,72,0,60,132
MIATWP-J3,0,0,0,0,0,0,0
MIATWP-K,179,50,165,394,0,126,520
MIATWP-L1,99,46,112,257,0,79,336
MIATWP-L2,0,0,0,0,0,0,0
MIATWP-M,98,45,112,255,0,105,360
MIATWP-N1,160,48,170,378,0,88,466
MIATWP-N2,31,11,26,68,0,20,88
MIATWP-O,148,59,156,363,0,127,490
MIATWP-P,53,22,49,124,0,44,168
MIATWP-Q,93,27,106,226,0,106,332
MIATWP-R,46,35,55,136,0,46,182
MIATWP-S,189,38,160,387,0,169,556
MIATWP-T1,0,0,0,0,0,0,0
MIATWP-U,66,26,77,169,0,67,236
MIATWP-V,82,29,71,182,0,62,244
