Precinct,Christopher Amsler,Chris Keilholz,Candidate Withdrawn,Ann Niess,Shelbi Nunery,Ryan S. Riddell,Total Votes Cast,Overvotes,Undervotes,Contest Total
GERTWP-A2,21,10,2,20,22,15,90,0,21,111
GERTWP-B2,5,10,0,3,1,8,27,0,9,36
MBG 1-A1,191,150,10,179,151,139,820,0,137,957
MBG 1-A3,1,0,0,1,1,0,3,0,0,3
MBG 1-B1,116,134,17,118,111,133,629,0,148,777
MBG 1-B2,0,0,0,0,0,0,0,0,0,0
MBG 1-C,194,129,11,214,181,124,853,0,104,957
MBG 2-A1,79,83,14,115,92,82,465,0,129,594
MBG 2-A2,0,0,0,0,0,0,0,0,0,0
MBG 2-B,98,76,7,105,109,83,478,0,98,576
MBG 2-C,133,139,10,142,135,134,693,0,129,822
MBG 3-A,70,82,12,93,84,80,421,0,95,516
MBG 3-B,146,121,17,154,152,121,711,0,171,882
MBG 3-C,96,100,15,117,99,89,516,0,171,687
MBG 3-D,138,123,14,134,124,130,663,0,165,828
MBG 4-A,134,105,10,153,126,100,628,0,179,807
MBG 4-B,166,127,12,156,122,125,708,0,93,801
MBG 4-C,109,103,10,133,111,95,561,0,111,672
MBG 4-D,225,176,23,241,196,172,1033,0,188,1221
MIATWP-A,74,70,17,108,101,78,448,0,122,570
MIATWP-C,91,136,14,75,82,156,554,0,145,699
MIATWP-D1,60,57,16,77,71,61,342,0,96,438
MIATWP-D2,14,9,2,18,17,14,74,0,7,81
MIATWP-E,131,171,26,207,152,161,848,0,217,1065
MIATWP-F,67,59,12,91,82,57,368,0,88,456
MIATWP-I,36,21,11,65,48,30,211,0,80,291
MIATWP-K,126,93,7,155,133,93,607,0,173,780
MIATWP-L2,0,0,0,0,0,0,0,0,0,0
MIATWP-M,68,77,11,95,69,79,399,0,141,540
MIATWP-N1,75,104,20,122,106,98,525,0,174,699
MIATWP-P,37,18,13,52,48,23,191,0,61,252
MIATWP-Q,75,48,13,106,93,53,388,0,110,498
MIATWP-S,137,147,10,130,117,139,680,0,154,834
MIATWP-T1,0,0,0,0,0,0,0,0,0,0
MIATWP-T3,0,0,0,0,0,0,0,0,0,0
MIATWP-V,57,60,4,72,59,55,307,0,59,366
WCR-A3,0,0,0,0,0,0,0,0,0,0
