Precinct,Youssef Elzein,Daryl M. Michael Jr.,Gary M. Roberts,Terry L. Smith,Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A1,43,141,175,154,513,0,435,948
BRK-A2,0,1,0,0,1,0,8,9
BRK-B,19,102,119,99,339,0,282,621
BRK-C,26,143,177,129,475,0,395,870
BRK-D1,34,105,120,111,370,0,278,648
BRK-D2,0,1,1,0,2,0,7,9
CLATWP-B1,16,68,78,74,236,0,289,525
CLATWP-C1,12,72,86,73,243,0,246,489
CTN 1-B2,0,0,0,0,0,0,0,0
DAY 2-C2,0,0,0,0,0,0,0,0
DAY 2-D2,0,0,0,0,0,0,0,0
DAY 3-B1,11,34,37,31,113,0,109,222
DAY 3-C2,42,37,34,30,143,0,79,222
DAY 3-D,42,90,75,94,301,0,194,495
DAY 3-F2,0,1,1,2,4,0,2,6
DAY 3-G2,9,34,30,35,108,0,57,165
DAY 3-G4,0,0,0,0,0,0,0,0
DAY 3-J3,4,11,10,8,33,0,6,39
DAY 3-K1,119,129,114,131,493,0,365,858
DAY 11-C2,0,6,7,6,19,0,14,33
DAY 14-A2,24,54,40,50,168,0,93,261
DAY 14-A3,2,4,2,2,10,0,14,24
DAY 14-C2,3,11,10,8,32,0,37,69
DAY 14-C3,0,0,0,0,0,0,0,0
FARM,25,93,95,108,321,0,363,684
GERTWP-A1,31,112,125,116,384,0,420,804
GERTWP-B1,46,122,132,136,436,0,536,972
GTN-A,43,116,115,109,383,0,517,900
GTN-B,22,60,64,74,220,0,221,441
GTN-C1,36,110,103,113,362,0,490,852
GTN-C2,0,0,0,0,0,0,0,0
GTN-D1,39,102,102,99,342,0,366,708
GTN-D2,0,0,0,0,0,0,0,0
HARTWP-A,33,42,50,43,168,0,126,294
HARTWP-B,30,69,73,77,249,0,162,411
HARTWP-C,20,49,53,51,173,0,124,297
HARTWP-E,17,31,38,34,120,0,75,195
HARTWP-N,19,56,59,56,190,0,176,366
HUB 5-B2,0,0,0,0,0,0,0,0
JAKTWP-A1,18,110,103,118,349,0,245,594
JAKTWP-A2,19,77,78,75,249,0,288,537
JAKTWP-B1,22,127,127,116,392,0,466,858
JEFTWP-A1,104,159,151,137,551,0,529,1080
JEFTWP-A2,2,20,21,16,59,0,61,120
JEFTWP-B2,21,28,29,28,106,0,56,162
JEFTWP-B4,19,27,17,20,83,0,52,135
JEFTWP-C1,73,125,134,127,459,0,588,1047
JEFTWP-C2,0,0,0,0,0,0,0,0
JEFTWP-D,87,156,102,122,467,0,370,837
JNLB-A1,24,78,69,89,260,0,220,480
JNLB-A2,0,0,1,0,1,0,2,3
JNLB-B,32,143,127,144,446,0,277,723
MIATWP-J3,0,0,0,0,0,0,0,0
MOR 2-A2,12,25,28,31,96,0,108,204
PERTWP-A1,16,79,104,91,290,0,229,519
PERTWP-A2,2,26,26,28,82,0,65,147
PERTWP-B1,38,105,118,105,366,0,339,705
PERTWP-B2,2,9,5,12,28,0,29,57
PERTWP-C,33,156,133,157,479,0,316,795
PM,25,26,36,29,116,0,58,174
PNLB1,24,75,63,72,234,0,132,366
PNLB2,0,0,0,0,0,0,0,0
RV-A,79,122,133,131,465,0,291,756
RV-B1,29,59,52,47,187,0,206,393
RV-C,68,97,83,95,343,0,275,618
RV-E1,40,74,82,81,277,0,227,504
RV-F,77,96,99,101,373,0,209,582
RV-G,47,73,85,80,285,0,234,519
RV-H,11,33,34,30,108,0,99,207
RV-I,42,67,70,58,237,0,213,450
RV-J,59,86,96,92,333,0,219,552
RV-L2,12,23,24,23,82,0,32,114
RV-M,83,121,104,113,421,0,221,642
RV-N,27,54,57,60,198,0,141,339
RV-P,62,109,124,122,417,0,300,717
TR 1-A2,1,6,6,5,18,0,15,33
TR 3-B2,5,16,14,16,51,0,21,72
WCR-A2,4,2,2,1,9,0,18,27
