Precinct,FOR THE TAX LEVY,AGAINST THE TAX LEVY,Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A1,197,103,300,0,16,316
BRK-A2,2,1,3,0,0,3
BRK-B,126,75,201,0,6,207
BRK-C,151,132,283,0,7,290
BRK-D1,124,88,212,0,4,216
BRK-D2,0,3,3,0,0,3
BTLTWP-A,163,141,304,0,3,307
BTLTWP-B,129,174,303,0,3,306
BTLTWP-C,221,171,392,0,4,396
BTLTWP-D,197,146,343,0,5,348
BTLTWP-E,148,97,245,0,6,251
BTLTWP-F,174,122,296,0,4,300
BTLTWP-G,102,60,162,0,2,164
CLATWP-A,97,126,223,0,5,228
CLATWP-B1,78,90,168,0,7,175
CLATWP-B2,9,9,18,0,0,18
CLATWP-C1,71,90,161,0,2,163
CLATWP-C2,21,32,53,0,2,55
CLATWP-C3,40,50,90,0,1,91
CLATWP-C4,1,9,10,0,0,10
CTN 1-A1,166,194,360,0,10,370
CTN 1-A2,2,0,2,0,0,2
CTN 1-B1,39,30,69,0,0,69
CTN 1-B2,0,0,0,0,0,0
CTN 1-B3,196,107,303,0,8,311
CTN 1-C1,283,151,434,0,8,442
CTN 1-C2,13,7,20,0,1,21
CTN 1-D1,165,70,235,0,4,239
CTN 1-D2,19,5,24,0,0,24
CTN 2-A,158,79,237,0,4,241
CTN 2-B,240,107,347,0,0,347
CTN 2-C1,244,102,346,0,4,350
CTN 2-C2,25,13,38,0,1,39
CTN 3-A,254,140,394,0,6,400
CTN 3-B,265,84,349,0,7,356
CTN 3-C,189,77,266,0,6,272
CV-A,72,14,86,0,0,86
CV-B,180,67,247,0,2,249
CV-C,93,50,143,0,0,143
CV-D,78,40,118,0,1,119
CV-E,178,71,249,0,3,252
CV-F,186,85,271,0,1,272
CV-G,238,66,304,0,1,305
CV-H,326,77,403,0,3,406
CV-I1,215,110,325,0,3,328
CV-I2,0,0,0,0,0,0
CV-J,179,66,245,0,3,248
CV-K,209,75,284,0,4,288
CV-L,233,97,330,0,3,333
CV-M,175,69,244,0,1,245
CV-N,211,32,243,0,4,247
CV-O,216,100,316,0,3,319
CV-P,226,69,295,0,3,298
CV-Q,186,54,240,0,3,243
CV-R,117,59,176,0,4,180
DAY 1-A,83,14,97,0,1,98
DAY 1-B,285,40,325,0,3,328
DAY 1-C1,100,10,110,0,3,113
DAY 1-C2,58,10,68,0,1,69
DAY 1-D,133,14,147,0,0,147
DAY 1-E,276,25,301,0,1,302
DAY 2-A,66,20,86,0,1,87
DAY 2-B,215,21,236,0,0,236
DAY 2-C1,96,30,126,0,1,127
DAY 2-C2,0,0,0,0,0,0
DAY 2-D1,53,22,75,0,0,75
DAY 2-D2,0,0,0,0,0,0
DAY 3-A,40,9,49,0,1,50
DAY 3-B1,36,38,74,0,0,74
DAY 3-B2,25,7,32,0,2,34
DAY 3-B3,0,0,0,0,0,0
DAY 3-C1,188,84,272,0,1,273
DAY 3-C2,52,22,74,0,0,74
DAY 3-D,98,64,162,0,3,165
DAY 3-E,60,21,81,0,1,82
DAY 3-F1,243,86,329,0,4,333
DAY 3-F2,2,0,2,0,0,2
DAY 3-G1,25,12,37,0,0,37
DAY 3-G2,35,20,55,0,0,55
DAY 3-G3,0,0,0,0,0,0
DAY 3-G4,0,0,0,0,0,0
DAY 3-H,78,35,113,0,1,114
DAY 3-I,186,121,307,0,3,310
DAY 3-J1,19,12,31,0,0,31
DAY 3-J2,100,59,159,0,0,159
DAY 3-J3,12,1,13,0,0,13
DAY 3-K1,198,84,282,0,4,286
DAY 3-K2,22,14,36,0,1,37
DAY 3-L,184,90,274,0,2,276
DAY 4-A,181,24,205,0,4,209
DAY 4-B,123,22,145,0,1,146
DAY 4-C,169,23,192,0,3,195
DAY 5-A,141,24,165,0,9,174
DAY 5-B,150,19,169,0,1,170
DAY 5-C,91,16,107,0,1,108
DAY 5-D,144,40,184,0,7,191
DAY 6-A1,132,33,165,0,8,173
DAY 6-A2,0,1,1,0,0,1
DAY 6-B,148,22,170,0,4,174
DAY 6-C,126,20,146,0,9,155
DAY 7-A,104,25,129,0,7,136
DAY 7-B,140,19,159,0,2,161
