Precinct,William C. Cox,Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A1,181,181,0,135,316
BRK-A2,1,1,0,2,3
BRK-B,128,128,0,79,207
BRK-C,163,163,0,127,290
BRK-D1,123,123,0,93,216
BRK-D2,3,3,0,0,3
CLATWP-A,127,127,0,101,228
CLATWP-B1,86,86,0,89,175
CLATWP-B2,11,11,0,7,18
CLATWP-C1,90,90,0,73,163
CLATWP-C2,30,30,0,25,55
CLATWP-C3,58,58,0,33,91
CLATWP-C4,4,4,0,6,10
FARM,120,120,0,108,228
HUB 1-A,130,130,0,65,195
HUB 1-B,213,213,0,111,324
HUB 1-C,134,134,0,55,189
HUB 1-D1,166,166,0,85,251
HUB 1-D2,0,0,0,0,0
HUB 2-A,168,168,0,94,262
HUB 2-B,192,192,0,110,302
HUB 3-A,145,145,0,59,204
HUB 3-B,73,73,0,48,121
HUB 3-C,118,118,0,56,174
HUB 3-D,144,144,0,84,228
HUB 3-E,88,88,0,70,158
HUB 4-A,126,126,0,71,197
HUB 4-B,131,131,0,64,195
HUB 4-C,122,122,0,73,195
HUB 4-D,157,157,0,44,201
HUB 5-A,122,122,0,60,182
HUB 5-B1,138,138,0,60,198
HUB 5-B2,0,0,0,0,0
HUB 5-C,145,145,0,51,196
HUB 5-D,115,115,0,52,167
HUB 6-A,136,136,0,67,203
HUB 6-B,191,191,0,108,299
HUB 6-C,201,201,0,91,292
HUB 6-D,154,154,0,93,247
JAKTWP-A1,113,113,0,85,198
JAKTWP-A2,86,86,0,93,179
JAKTWP-B1,145,145,0,141,286
JAKTWP-B2,0,0,0,0,0
JEFTWP-A1,198,198,0,162,360
JEFTWP-A2,22,22,0,18,40
JEFTWP-A3,4,4,0,4,8
JEFTWP-B1,34,34,0,24,58
JEFTWP-B2,34,34,0,20,54
JEFTWP-B3,7,7,0,4,11
JEFTWP-B4,30,30,0,15,45
JEFTWP-C1,186,186,0,163,349
JEFTWP-C2,0,0,0,0,0
JEFTWP-D,186,186,0,93,279
JNLB-A1,90,90,0,70,160
JNLB-A2,1,1,0,0,1
JNLB-B,142,142,0,99,241
PERTWP-A1,83,83,0,90,173
PERTWP-A2,25,25,0,24,49
PERTWP-B1,122,122,0,113,235
PERTWP-B2,10,10,0,9,19
PERTWP-C,144,144,0,121,265
PHBG,49,49,0,40,89
PM,44,44,0,14,58
PNLB1,67,67,0,55,122
PNLB2,0,0,0,0,0
RV-A,150,150,0,102,252
RV-B1,75,75,0,56,131
RV-B2,7,7,0,3,10
RV-C,129,129,0,77,206
RV-D,157,157,0,98,255
RV-E1,93,93,0,75,168
RV-E2,1,1,0,2,3
RV-F,127,127,0,67,194
RV-G,110,110,0,63,173
RV-H,41,41,0,28,69
RV-I,84,84,0,66,150
RV-J,121,121,0,63,184
RV-K1,156,156,0,92,248
RV-K2,0,0,0,0,0
RV-L1,38,38,0,27,65
RV-L2,27,27,0,11,38
RV-M,135,135,0,79,214
RV-N,75,75,0,38,113
RV-O,135,135,0,73,208
RV-P,156,156,0,83,239
TR 1-A1,162,162,0,88,250
TR 1-A2,7,7,0,4,11
TR 1-B1,104,104,0,45,149
TR 1-B2,13,13,0,9,22
TR 1-C,152,152,0,84,236
TR 1-D,95,95,0,45,140
TR 1-E,192,192,0,90,282
TR 2-A,150,150,0,56,206
TR 2-B,129,129,0,59,188
TR 2-C1,102,102,0,37,139
TR 2-C2,20,20,0,20,40
TR 2-D1,60,60,0,30,90
TR 2-D2,33,33,0,20,53
TR 2-E,162,162,0,60,222
TR 3-A,80,80,0,45,125
TR 3-B1,80,80,0,40,120
TR 3-B2,20,20,0,4,24
TR 3-C1,51,51,0,29,80
TR 3-C2,20,20,0,11,31
TR 3-D,136,136,0,78,214
TR 4-A,165,165,0,77,242
TR 4-B,113,113,0,54,167
TR 4-C,68,68,0,27,95
TR 4-D1,29,29,0,16,45
TR 4-D2,110,110,0,31,141
