Precinct,Brandon Myers,Cindi Westwood,Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A1,192,102,294,0,22,316
BRK-A2,3,0,3,0,0,3
BRK-B,135,58,193,0,14,207
BRK-C,206,72,278,0,12,290
BRK-D1,147,59,206,0,10,216
BRK-D2,3,0,3,0,0,3
CLATWP-A,153,47,200,0,28,228
CLATWP-B1,122,34,156,0,19,175
CLATWP-B2,9,8,17,0,1,18
CLATWP-C1,113,39,152,0,11,163
CLATWP-C2,30,14,44,0,11,55
CLATWP-C3,53,30,83,0,8,91
CLATWP-C4,7,1,8,0,2,10
FARM,113,78,191,0,37,228
HUB 1-A,81,101,182,0,13,195
HUB 1-B,142,159,301,0,23,324
HUB 1-C,72,94,166,0,23,189
HUB 1-D1,113,118,231,0,20,251
HUB 1-D2,0,0,0,0,0,0
HUB 2-A,115,124,239,0,23,262
HUB 2-B,144,119,263,0,39,302
HUB 3-A,97,94,191,0,13,204
HUB 3-B,31,70,101,0,20,121
HUB 3-C,66,91,157,0,17,174
HUB 3-D,110,105,215,0,13,228
HUB 3-E,68,65,133,0,25,158
HUB 4-A,81,99,180,0,17,197
HUB 4-B,82,100,182,0,13,195
HUB 4-C,67,108,175,0,20,195
HUB 4-D,91,96,187,0,14,201
HUB 5-A,72,91,163,0,19,182
HUB 5-B1,91,91,182,0,16,198
HUB 5-B2,0,0,0,0,0,0
HUB 5-C,77,105,182,0,14,196
HUB 5-D,76,79,155,0,12,167
HUB 6-A,91,95,186,0,17,203
HUB 6-B,139,129,268,0,31,299
HUB 6-C,137,129,266,0,26,292
HUB 6-D,134,89,223,0,24,247
JAKTWP-A1,105,69,174,0,24,198
JAKTWP-A2,91,68,159,0,20,179
JAKTWP-B1,152,98,250,0,36,286
JAKTWP-B2,0,0,0,0,0,0
JEFTWP-A1,106,190,296,0,64,360
JEFTWP-A2,19,12,31,0,9,40
JEFTWP-A3,2,5,7,0,1,8
JEFTWP-B1,28,23,51,0,7,58
JEFTWP-B2,22,26,48,0,6,54
JEFTWP-B3,6,5,11,0,0,11
JEFTWP-B4,12,31,43,0,2,45
JEFTWP-C1,146,137,283,0,66,349
JEFTWP-C2,0,0,0,0,0,0
JEFTWP-D,92,161,253,0,26,279
JNLB-A1,80,51,131,0,29,160
JNLB-A2,1,0,1,0,0,1
JNLB-B,134,77,211,0,30,241
PERTWP-A1,116,36,152,0,21,173
PERTWP-A2,30,12,42,0,7,49
PERTWP-B1,156,62,218,0,17,235
PERTWP-B2,9,6,15,0,4,19
PERTWP-C,168,64,232,0,33,265
PHBG,55,27,82,0,7,89
PM,22,33,55,0,3,58
PNLB1,49,53,102,0,20,122
PNLB2,0,0,0,0,0,0
RV-A,109,110,219,0,33,252
RV-B1,67,43,110,0,21,131
RV-B2,6,3,9,0,1,10
RV-C,87,100,187,0,19,206
RV-D,115,108,223,0,32,255
RV-E1,79,65,144,0,24,168
RV-E2,3,0,3,0,0,3
RV-F,100,76,176,0,18,194
RV-G,91,58,149,0,24,173
RV-H,18,40,58,0,11,69
RV-I,78,51,129,0,21,150
RV-J,76,88,164,0,20,184
RV-K1,112,105,217,0,31,248
RV-K2,0,0,0,0,0,0
RV-L1,29,31,60,0,5,65
RV-L2,12,21,33,0,5,38
RV-M,100,95,195,0,19,214
RV-N,51,48,99,0,14,113
RV-O,83,98,181,0,27,208
RV-P,108,102,210,0,29,239
TR 1-A1,66,161,227,0,23,250
TR 1-A2,9,2,11,0,0,11
TR 1-B1,50,86,136,0,13,149
TR 1-B2,4,15,19,0,3,22
TR 1-C,48,164,212,0,24,236
TR 1-D,49,69,118,0,22,140
TR 1-E,67,197,264,1,17,282
TR 2-A,79,117,196,0,10,206
TR 2-B,59,110,169,0,19,188
TR 2-C1,49,76,125,0,14,139
TR 2-C2,14,20,34,0,6,40
TR 2-D1,24,54,78,0,12,90
TR 2-D2,20,28,48,0,5,53
TR 2-E,67,137,204,0,18,222
TR 3-A,39,77,116,0,9,125
TR 3-B1,47,61,108,0,12,120
TR 3-B2,6,17,23,0,1,24
TR 3-C1,27,46,73,0,7,80
TR 3-C2,11,16,27,0,4,31
TR 3-D,69,121,190,0,24,214
TR 4-A,62,162,224,0,18,242
TR 4-B,61,84,145,0,22,167
TR 4-C,22,63,85,1,9,95
TR 4-D1,12,27,39,0,6,45
TR 4-D2,48,80,128,0,13,141
