Precinct,Mike Denning,Brenda Fry,Steve Gaby,Angel R. Patterson,Freda Patterson,Total Votes Cast,Overvotes,Undervotes,Contest Total
PM,30,31,32,38,27,158,0,74,232
RV-A,128,161,162,158,138,747,0,261,1008
RV-B1,58,66,67,67,68,326,0,198,524
RV-B2,5,3,5,4,4,21,0,19,40
RV-C,72,91,119,126,110,518,0,306,824
RV-D,115,115,153,152,130,665,0,355,1020
RV-E1,65,78,115,108,110,476,0,196,672
RV-E2,0,0,2,2,2,6,0,6,12
RV-F,108,99,110,119,99,535,0,241,776
RV-G,69,87,118,96,105,475,0,217,692
RV-H,24,39,42,47,40,192,0,84,276
RV-I,49,59,111,103,103,425,0,175,600
RV-J,72,99,123,122,112,528,0,208,736
RV-K1,117,154,120,141,118,650,0,342,992
RV-K2,0,0,0,0,0,0,0,0,0
RV-L1,29,37,33,35,28,162,0,98,260
RV-L2,19,22,31,28,21,121,0,31,152
RV-M,103,128,123,135,116,605,0,251,856
RV-N,48,56,70,76,72,322,0,130,452
RV-O,97,113,134,141,115,600,0,232,832
RV-P,97,140,164,151,145,697,0,259,956
