Precinct,Sonja R. Cherry,LaJuana J. Curington,No Valid Petition Filed,Total Votes Cast,Overvotes,Undervotes,Contest Total
CTN 1-D2,14,10,0,24,0,48,72
CTN 2-C2,24,14,0,38,0,79,117
DAY 6-A2,0,1,0,1,0,2,3
DAY 15-D1,53,40,0,93,0,177,270
JEFTWP-A3,5,4,0,9,0,15,24
JEFTWP-B3,6,4,0,10,0,23,33
TR 1-A1,158,121,0,279,0,471,750
TR 1-B1,94,87,0,181,0,266,447
TR 1-C,163,126,0,289,0,419,708
TR 1-D,82,84,0,166,0,254,420
TR 1-E,183,161,0,344,0,502,846
TR 2-B,133,113,0,246,0,318,564
TR 2-C1,87,76,0,163,0,254,417
TR 2-D1,53,45,0,98,0,172,270
TR 2-E,153,130,0,283,0,383,666
TR 3-A,75,63,0,138,0,237,375
TR 3-B1,74,54,0,128,0,232,360
TR 3-C1,47,48,0,95,0,145,240
TR 3-D,120,115,0,235,0,407,642
TR 4-A,162,131,0,293,0,433,726
TR 4-B,110,76,0,186,0,315,501
TR 4-D1,28,22,0,50,0,85,135
