Precinct,Aaron Hathaway,Alex Gonter-Dray,Rick Ford,Mike Flannery,Candidate Withdrawn,Emily Bradford,Total Votes Cast,Overvotes,Undervotes,Contest Total
VD-A,80,54,53,55,56,86,384,0,123,507
VD-B,58,37,39,42,37,58,271,0,56,327
VD-C,128,64,90,107,85,106,580,0,179,759
VD-D,136,75,73,110,104,114,612,0,219,831
VD-E,77,40,46,83,43,78,367,0,89,456
VD-F,183,102,123,110,105,174,797,0,169,966
VD-G,135,88,79,100,85,130,617,0,172,789
VD-H,206,117,112,164,114,165,878,0,202,1080
VD-I,147,70,88,106,68,117,596,0,172,768
VD-J,201,94,123,130,200,176,924,3,294,1221
VD-K,121,70,68,91,62,88,500,0,157,657
