Precinct,Timothy R. Rudd,W. Joe Scholler Sr.,Stephanie J. Smith,Total Votes Cast,Overvotes,Undervotes,Contest Total
FARM,126,113,123,362,0,322,684
GERTWP-A1,152,128,128,408,0,396,804
GERTWP-B1,168,156,142,466,0,506,972
GTN-A,147,144,151,442,0,458,900
GTN-B,87,73,83,243,0,198,441
GTN-C1,162,160,155,477,0,375,852
GTN-C2,0,0,0,0,0,0,0
GTN-D1,140,114,126,380,0,328,708
GTN-D2,0,0,0,0,0,0,0
JAKTWP-A2,95,83,82,260,0,277,537
JAKTWP-B1,157,141,134,432,0,426,858
JEFTWP-C2,0,0,0,0,0,0,0
MIATWP-J3,0,0,0,0,0,0,0
