Precinct,Nicole Amrhein,David Caldwell,Total Votes Cast,Overvotes,Undervotes,Contest Total
BTLTWP-A,140,145,285,0,22,307
BTLTWP-B,121,162,283,0,23,306
BTLTWP-C,168,202,370,0,26,396
BTLTWP-D,145,176,321,0,27,348
BTLTWP-E,107,128,235,0,16,251
BTLTWP-F,105,156,261,0,39,300
BTLTWP-G,78,72,150,0,14,164
CTN 1-A1,63,258,321,0,49,370
CTN 1-A2,1,0,1,0,1,2
CTN 1-B1,37,26,63,0,6,69
CTN 1-B2,0,0,0,0,0,0
CTN 1-B3,157,117,274,0,37,311
CTN 1-C1,200,203,403,0,39,442
CTN 1-C2,8,8,16,0,5,21
CTN 1-D1,150,66,216,0,23,239
CTN 1-D2,15,7,22,0,2,24
CTN 2-A,123,93,216,0,25,241
CTN 2-B,191,131,322,0,25,347
CTN 2-C1,207,114,321,0,29,350
CTN 2-C2,26,12,38,0,1,39
CTN 3-A,208,157,365,0,35,400
CTN 3-B,204,118,322,0,34,356
CTN 3-C,161,90,251,0,21,272
ENG-A,178,131,309,0,19,328
ENG-B,128,105,233,0,26,259
ENG-C,124,71,195,0,16,211
ENG-D,137,108,245,0,11,256
ENG-E,175,100,275,0,20,295
ENG-F,104,122,226,0,16,242
ENG-G,145,122,267,0,25,292
ENG-H,114,82,196,0,14,210
ENG-I,95,85,180,0,16,196
ENG-J,138,68,206,0,21,227
HARTWP-A,34,60,94,0,4,98
HARTWP-B,67,56,123,0,14,137
HARTWP-C,49,39,88,0,11,99
HARTWP-D,193,93,286,0,27,313
HARTWP-E,35,24,59,0,6,65
HARTWP-F,83,30,113,0,15,128
HARTWP-G,120,50,170,0,19,189
HARTWP-H,107,57,164,0,15,179
HARTWP-I,82,41,123,0,14,137
HARTWP-J,134,58,192,0,22,214
HARTWP-K,68,35,103,0,21,124
HARTWP-L,229,90,319,0,22,341
HARTWP-M,222,113,335,0,39,374
HARTWP-N,48,55,103,0,19,122
HARTWP-O,160,90,250,0,27,277
UN-A,75,75,150,0,15,165
UN-B,126,123,249,0,39,288
UN-C1,97,91,188,0,33,221
UN-C2,40,42,82,0,9,91
UN-C3,0,1,1,0,0,1
UN-D,154,175,329,0,32,361
UN-E,100,133,233,0,35,268
VD-A,77,79,156,0,13,169
VD-B,53,55,108,0,1,109
VD-C,110,132,242,0,11,253
VD-D,124,138,262,0,15,277
VD-E,52,97,149,0,3,152
VD-F,147,164,311,0,11,322
VD-G,106,143,249,0,14,263
VD-H,155,189,344,0,16,360
VD-I,92,156,248,0,8,256
VD-J,164,205,369,0,38,407
VD-K,97,110,207,0,12,219
