Precinct,Ryan Chewning,Scott Fullam,Holly Herbst,Mary Kay Smith,Total Votes Cast,Overvotes,Undervotes,Contest Total
BTLTWP-A,126,146,171,160,603,0,318,921
BTLTWP-B,123,150,167,168,608,0,310,918
BTLTWP-C,174,189,223,238,824,0,364,1188
BTLTWP-D,138,155,200,187,680,0,364,1044
BTLTWP-E,102,152,157,164,575,0,178,753
BTLTWP-F,110,182,188,162,642,0,258,900
BTLTWP-G,72,90,101,106,369,0,123,492
DAY 3-B2,12,8,17,19,56,0,46,102
DAY 3-B3,0,0,0,0,0,0,0,0
DAY 1-D2,0,0,0,0,0,0,0,0
UN-C2,34,44,52,55,185,0,88,273
UN-C3,0,1,1,1,3,0,0,3
VD-A,83,75,104,86,348,0,159,507
VD-B,57,57,70,69,253,0,74,327
VD-C,113,122,152,139,526,0,233,759
VD-D,131,154,169,184,638,0,193,831
VD-E,66,88,89,94,337,0,119,456
VD-F,130,169,196,196,691,0,275,966
VD-G,122,146,165,139,572,0,217,789
VD-H,139,218,240,242,839,0,241,1080
VD-I,130,148,156,147,581,0,187,768
VD-J,174,207,219,235,835,0,386,1221
VD-K,101,114,125,123,463,0,194,657
