Precinct,Keith A. Tilton,Lauren N. Williams,No Valid Petition Filed,No Valid Petition Filed,Write-in Totals,Write-in: Mike Boyle,Write-in: Abby Cochran,Write-in: Richard H. Dobson Jr.,Write-in: NOT VALID,Write-in: Not Assigned,Total Votes Cast,Overvotes,Undervotes,Contest Total
WCR-A1,62,62,0,0,45,8,6,18,13,0,169,0,319,488
WCR-A2,2,2,0,0,0,0,0,0,0,0,4,0,32,36
WCR-A3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCR-B,94,88,0,0,74,15,3,51,5,0,256,0,440,696
WCR-C,111,113,0,0,53,7,5,37,4,0,277,0,475,752
WCR-D,123,120,0,0,87,19,17,45,6,0,330,0,514,844
WCR-E,51,59,0,0,6,2,0,4,0,0,116,0,236,352
WCR-F,41,55,0,0,25,5,3,16,1,0,121,0,251,372
WCR-G,122,135,0,0,83,19,16,42,6,0,340,0,444,784
WCR-H,76,83,0,0,54,15,5,27,7,0,213,0,367,580
WCR-I,24,46,0,0,6,1,2,1,2,0,76,0,180,256
