Precinct,Angela Shockley,Total Votes Cast,Overvotes,Undervotes,Contest Total
KT 3-I2,1,1,0,1,2
MIATWP-B,103,103,0,40,143
MIATWP-G,88,88,0,36,124
MIATWP-H,93,93,0,38,131
MIATWP-L1,109,109,0,59,168
MIATWP-N2,27,27,0,17,44
MIATWP-O,166,166,0,79,245
MIATWP-R,64,64,0,27,91
MIATWP-U,82,82,0,36,118
MOR 1-A2,22,22,0,7,29
MOR 2-A1,113,113,0,50,163
MOR 3-A1,91,91,0,30,121
MOR 4-A,60,60,0,16,76
MOR 4-B,31,31,0,15,46
WCR-A1,67,67,0,55,122
WCR-B,113,113,0,61,174
WCR-C,130,130,0,58,188
WCR-D,127,127,0,84,211
WCR-E,57,57,0,31,88
WCR-F,62,62,0,31,93
WCR-G,147,147,0,49,196
WCR-H,80,80,0,65,145
WCR-I,44,44,0,20,64
